TEAM_ID,TEAM_NAME,TIME_OF_POSS,AVG_SEC_PER_TOUCH,SEASON,GAME_TYPE
1610612764,Washington Wizards,21.5,3.08,2014-15,Playoffs
1610612737,Atlanta Hawks,20.2,2.76,2015-16,Playoffs
1610612738,Boston Celtics,21.6,2.84,2015-16,Playoffs
1610612766,Charlotte Hornets,21.2,3.48,2015-16,Playoffs
1610612739,Cleveland Cavaliers,21.7,3.41,2015-16,Playoffs
1610612742,Dallas Mavericks,22.5,3.21,2015-16,Playoffs
1610612765,Detroit Pistons,19.4,3.34,2015-16,Playoffs
1610612744,Golden State Warriors,20.1,2.77,2015-16,Playoffs
1610612745,Houston Rockets,20.2,3.05,2015-16,Playoffs
1610612754,Indiana Pacers,20.1,3.12,2015-16,Playoffs
1610612746,LA Clippers,21.1,3.28,2015-16,Playoffs
1610612763,Memphis Grizzlies,20.7,3.12,2015-16,Playoffs
1610612748,Miami Heat,21.2,3.31,2015-16,Playoffs
1610612760,Oklahoma City Thunder,20.6,3.64,2015-16,Playoffs
1610612757,Portland Trail Blazers,21.7,3.36,2015-16,Playoffs
1610612759,San Antonio Spurs,21.4,3.06,2015-16,Playoffs
1610612761,Toronto Raptors,22.3,3.41,2015-16,Playoffs
1610612737,Atlanta Hawks,21.3,3.02,2016-17,Playoffs
1610612738,Boston Celtics,20.8,2.96,2016-17,Playoffs
1610612741,Chicago Bulls,20.7,3.27,2016-17,Playoffs
1610612739,Cleveland Cavaliers,21.3,3.39,2016-17,Playoffs
1610612744,Golden State Warriors,19.1,2.73,2016-17,Playoffs
1610612745,Houston Rockets,20.8,3.47,2016-17,Playoffs
1610612754,Indiana Pacers,20.5,3.32,2016-17,Playoffs
1610612746,LA Clippers,20.2,3.38,2016-17,Playoffs
1610612763,Memphis Grizzlies,21.6,3.49,2016-17,Playoffs
1610612749,Milwaukee Bucks,20.9,3.08,2016-17,Playoffs
1610612760,Oklahoma City Thunder,21.0,3.56,2016-17,Playoffs
1610612757,Portland Trail Blazers,22.5,3.66,2016-17,Playoffs
1610612759,San Antonio Spurs,21.7,3.2,2016-17,Playoffs
1610612761,Toronto Raptors,21.0,3.28,2016-17,Playoffs
1610612762,Utah Jazz,22.2,3.34,2016-17,Playoffs
1610612764,Washington Wizards,21.4,3.44,2016-17,Playoffs
1610612738,Boston Celtics,22.1,3.21,2017-18,Playoffs
1610612739,Cleveland Cavaliers,21.8,3.59,2017-18,Playoffs
1610612744,Golden State Warriors,20.0,2.87,2017-18,Playoffs
1610612745,Houston Rockets,21.8,3.83,2017-18,Playoffs
1610612754,Indiana Pacers,20.8,3.39,2017-18,Playoffs
1610612748,Miami Heat,21.6,3.35,2017-18,Playoffs
1610612749,Milwaukee Bucks,19.6,3.16,2017-18,Playoffs
1610612750,Minnesota Timberwolves,20.7,3.38,2017-18,Playoffs
1610612740,New Orleans Pelicans,19.9,2.92,2017-18,Playoffs
1610612760,Oklahoma City Thunder,19.7,3.41,2017-18,Playoffs
1610612755,Philadelphia 76ers,20.4,2.73,2017-18,Playoffs
1610612757,Portland Trail Blazers,22.5,3.44,2017-18,Playoffs
1610612759,San Antonio Spurs,21.9,3.16,2017-18,Playoffs
1610612761,Toronto Raptors,20.7,3.19,2017-18,Playoffs
1610612762,Utah Jazz,20.9,3.2,2017-18,Playoffs
1610612764,Washington Wizards,21.0,3.37,2017-18,Playoffs
1610612738,Boston Celtics,21.0,3.2,2018-19,Playoffs
1610612751,Brooklyn Nets,20.8,3.28,2018-19,Playoffs
1610612743,Denver Nuggets,21.9,3.03,2018-19,Playoffs
1610612765,Detroit Pistons,22.1,3.28,2018-19,Playoffs
1610612744,Golden State Warriors,19.5,2.7,2018-19,Playoffs
1610612745,Houston Rockets,21.9,3.7,2018-19,Playoffs
1610612754,Indiana Pacers,21.3,3.24,2018-19,Playoffs
1610612746,LA Clippers,21.9,2.97,2018-19,Playoffs
1610612749,Milwaukee Bucks,20.3,3.02,2018-19,Playoffs
1610612760,Oklahoma City Thunder,18.6,3.2,2018-19,Playoffs
1610612753,Orlando Magic,21.2,3.18,2018-19,Playoffs
1610612755,Philadelphia 76ers,21.9,3.19,2018-19,Playoffs
1610612757,Portland Trail Blazers,23.3,3.74,2018-19,Playoffs
1610612759,San Antonio Spurs,21.0,3.42,2018-19,Playoffs
1610612761,Toronto Raptors,21.6,3.12,2018-19,Playoffs
1610612762,Utah Jazz,21.2,3.22,2018-19,Playoffs
1610612738,Boston Celtics,21.1,3.2,2019-20,Playoffs
1610612751,Brooklyn Nets,19.9,2.84,2019-20,Playoffs
1610612742,Dallas Mavericks,21.2,3.17,2019-20,Playoffs
1610612743,Denver Nuggets,21.7,3.24,2019-20,Playoffs
1610612745,Houston Rockets,20.5,3.3,2019-20,Playoffs
1610612754,Indiana Pacers,20.6,3.23,2019-20,Playoffs
1610612746,LA Clippers,20.8,3.27,2019-20,Playoffs
1610612747,Los Angeles Lakers,20.7,3.14,2019-20,Playoffs
1610612748,Miami Heat,21.3,3.12,2019-20,Playoffs
1610612749,Milwaukee Bucks,20.2,3.12,2019-20,Playoffs
1610612760,Oklahoma City Thunder,21.9,3.3,2019-20,Playoffs
1610612753,Orlando Magic,21.7,3.24,2019-20,Playoffs
1610612755,Philadelphia 76ers,21.9,3.28,2019-20,Playoffs
1610612757,Portland Trail Blazers,20.7,3.42,2019-20,Playoffs
1610612761,Toronto Raptors,21.0,3.08,2019-20,Playoffs
1610612762,Utah Jazz,21.4,3.29,2019-20,Playoffs
1610612737,Atlanta Hawks,21.2,3.49,2020-21,Playoffs
1610612738,Boston Celtics,20.0,3.25,2020-21,Playoffs
1610612751,Brooklyn Nets,22.0,3.38,2020-21,Playoffs
1610612742,Dallas Mavericks,21.7,3.58,2020-21,Playoffs
1610612743,Denver Nuggets,21.7,3.23,2020-21,Playoffs
1610612746,LA Clippers,20.7,3.34,2020-21,Playoffs
1610612747,Los Angeles Lakers,20.5,3.04,2020-21,Playoffs
1610612763,Memphis Grizzlies,20.2,3.37,2020-21,Playoffs
1610612748,Miami Heat,21.3,3.08,2020-21,Playoffs
1610612749,Milwaukee Bucks,20.3,3.36,2020-21,Playoffs
1610612752,New York Knicks,21.5,3.38,2020-21,Playoffs
1610612755,Philadelphia 76ers,21.3,3.0,2020-21,Playoffs
1610612756,Phoenix Suns,21.5,3.52,2020-21,Playoffs
1610612757,Portland Trail Blazers,21.5,3.55,2020-21,Playoffs
1610612762,Utah Jazz,20.8,3.47,2020-21,Playoffs
1610612764,Washington Wizards,19.8,3.21,2020-21,Playoffs
