TEAM_ID,SEASON,GAME_TYPE,TEAM_NAME,TEAM_CITY,TEAM_NAME,TIME_OF_POSS,AVG_SEC_PER_TOUCH
1610612753,2018,Regular Season,Orlando Magic,Orlando,Magic,21.4,3.16
1610612755,2018,Regular Season,Philadelphia 76ers,Philadelphia,76ers,20.7,2.81
1610612756,2018,Regular Season,Phoenix Suns,Phoenix,Suns,21.4,2.98
1610612757,2018,Regular Season,Portland Trail Blazers,Portland,Trail Blazers,22.3,3.28
1610612758,2018,Regular Season,Sacramento Kings,Sacramento,Kings,20,2.86
1610612759,2018,Regular Season,San Antonio Spurs,San Antonio,Spurs,21.2,3.17
1610612761,2018,Regular Season,Toronto Raptors,Toronto,Raptors,20.8,2.95
1610612762,2018,Regular Season,Utah Jazz,Utah,Jazz,20.9,2.88
1610612764,2018,Regular Season,Washington Wizards,Washington,Wizards,20.5,2.94
1610612737,2019,Regular Season,Atlanta Hawks,Atlanta,Hawks,21.2,3.19
1610612738,2019,Regular Season,Boston Celtics,Boston,Celtics,20.8,3.08
1610612751,2019,Regular Season,Brooklyn Nets,Brooklyn,Nets,20.9,3.12
1610612766,2019,Regular Season,Charlotte Hornets,Charlotte,Hornets,21.4,3
1610612741,2019,Regular Season,Chicago Bulls,Chicago,Bulls,20.6,3.03
1610612739,2019,Regular Season,Cleveland Cavaliers,Cleveland,Cavaliers,21.9,3.18
1610612742,2019,Regular Season,Dallas Mavericks,Dallas,Mavericks,21.6,3.13
1610612743,2019,Regular Season,Denver Nuggets,Denver,Nuggets,21.5,3.02
1610612765,2019,Regular Season,Detroit Pistons,Detroit,Pistons,21.8,3.19
1610612744,2019,Regular Season,Golden State Warriors,Golden State,Warriors,20.6,2.71
1610612745,2019,Regular Season,Houston Rockets,Houston,Rockets,19.8,3.22
1610612754,2019,Regular Season,Indiana Pacers,Indiana,Pacers,21.1,3.04
1610612746,2019,Regular Season,Los Angeles Clippers,Los Angeles,Clippers,20.7,3.13
1610612747,2019,Regular Season,Los Angeles Lakers,Los Angeles,Lakers,20.2,2.98
1610612763,2019,Regular Season,Memphis Grizzlies,Memphis,Grizzlies,20.6,2.87
1610612748,2019,Regular Season,Miami Heat,Miami,Heat,21.8,3.16
1610612749,2019,Regular Season,Milwaukee Bucks,Milwaukee,Bucks,20,2.95
1610612750,2019,Regular Season,Minnesota Timberwolves,Minnesota,Timberwolves,20.8,2.88
1610612740,2019,Regular Season,New Orleans Pelicans,New Orleans,Pelicans,19.9,2.67
1610612752,2019,Regular Season,New York Knicks,New York,Knicks,21.1,3
1610612760,2019,Regular Season,Oklahoma City Thunder,Oklahoma City,Thunder,21.3,3.14
1610612753,2019,Regular Season,Orlando Magic,Orlando,Magic,21.3,3.26
1610612755,2019,Regular Season,Philadelphia 76ers,Philadelphia,76ers,21.6,3.07
1610612756,2019,Regular Season,Phoenix Suns,Phoenix,Suns,20.9,3.02
1610612757,2019,Regular Season,Portland Trail Blazers,Portland,Trail Blazers,21.6,3.54
1610612758,2019,Regular Season,Sacramento Kings,Sacramento,Kings,21.3,3.15
1610612759,2019,Regular Season,San Antonio Spurs,San Antonio,Spurs,21,3.14
1610612761,2019,Regular Season,Toronto Raptors,Toronto,Raptors,20.6,2.97
1610612762,2019,Regular Season,Utah Jazz,Utah,Jazz,21.4,3.08
1610612764,2019,Regular Season,Washington Wizards,Washington,Wizards,20.4,2.83
1610612737,2020,Regular Season,Atlanta Hawks,Atlanta,Hawks,21.4,3.24
1610612738,2020,Regular Season,Boston Celtics,Boston,Celtics,20.8,3.07
1610612751,2020,Regular Season,Brooklyn Nets,Brooklyn,Nets,20.2,3.05
1610612766,2020,Regular Season,Charlotte Hornets,Charlotte,Hornets,20.2,2.85
1610612741,2020,Regular Season,Chicago Bulls,Chicago,Bulls,21.1,3.06
1610612739,2020,Regular Season,Cleveland Cavaliers,Cleveland,Cavaliers,21.5,3.04
